»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 15:52:43
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 03:51:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	3.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	250.00 (kV/cm)
DCBias:	0.25
DCField:	83.33 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
 285	1.4200e-01	0.4880	14.132943	0.000065	20.820315	0.705411	-0.001953
 286	1.4250e-01	0.4739	13.850630	0.000059	18.905803	0.640546	-0.001774
 287	1.4300e-01	0.4585	13.558787	0.000061	19.543974	0.662168	-0.001834
 288	1.4350e-01	0.4427	13.189516	0.000078	24.729110	0.837845	-0.002320
 289	1.4400e-01	0.4292	12.817863	0.000078	24.888653	0.843250	-0.002335
 290	1.4450e-01	0.4117	12.465269	0.000074	23.612311	0.800007	-0.002215
 291	1.4500e-01	0.3991	12.069792	0.000083	26.484079	0.897305	-0.002485
 292	1.4550e-01	0.3828	11.688609	0.000080	25.526823	0.864872	-0.002395
 293	1.4600e-01	0.3701	10.877405	0.000171	54.324271	1.840556	-0.005097
 294	1.4650e-01	0.3526	10.603430	0.000058	18.347404	0.621627	-0.001721
 295	1.4700e-01	0.3381	9.880374	0.000152	48.421193	1.640554	-0.004543
 296	1.4750e-01	0.3270	9.368160	0.000108	34.301669	1.162172	-0.003218
 297	1.4800e-01	0.3048	8.768988	0.000126	40.124975	1.359471	-0.003765
 298	1.4850e-01	0.2919	8.070947	0.000147	46.745995	1.583797	-0.004386
 299	1.4900e-01	0.2783	7.331215	0.000156	49.537991	1.678393	-0.004648
 300	1.4950e-01	0.2682	6.461642	0.000183	58.233065	1.972990	-0.005464
 301	1.5000e-01	0.2518	5.598025	0.000182	57.834209	1.959476	-0.005426
 302	1.5050e-01	0.2342	4.676039	0.000194	61.743004	2.091910	-0.005793
 303	1.5100e-01	0.2200	3.725465	0.000200	63.657515	2.156775	-0.005972
 304	1.5150e-01	0.2062	2.641477	0.000228	72.591903	2.459480	-0.006811
 305	1.5200e-01	0.1856	1.588460	0.000222	70.517849	2.389209	-0.006616
 306	1.5250e-01	0.1743	0.480648	0.000233	74.187330	2.513535	-0.006960
 307	1.5300e-01	0.1566	-1.162012	0.000346	110.004654	3.727059	-0.010321
 308	1.5350e-01	0.1450	-2.199543	0.000218	69.480822	2.354074	-0.006519
 309	1.5400e-01	0.1332	-3.664714	0.000308	98.118727	3.324352	-0.009206
 310	1.5450e-01	0.1134	-4.730834	0.000224	71.395334	2.418939	-0.006698
 311	1.5500e-01	0.0980	-5.820778	0.000229	72.990760	2.472994	-0.006848
 312	1.5550e-01	0.0840	-7.031033	0.000255	81.047664	2.745969	-0.007604
 313	1.5600e-01	0.0700	-8.118595	0.000229	72.831217	2.467588	-0.006833
 314	1.5650e-01	0.0567	-9.177568	0.000223	70.916706	2.402723	-0.006654
 315	1.5700e-01	0.0372	-10.017361	0.000177	56.238782	1.905422	-0.005276
 316	1.5750e-01	0.0259	-10.948877	0.000196	62.381174	2.113531	-0.005853
 317	1.5800e-01	0.0068	-11.654064	0.000148	47.224623	1.600014	-0.004431
 318	1.5850e-01	-0.0076	-12.358061	0.000148	47.144852	1.597311	-0.004423
 319	1.5900e-01	-0.0190	-12.829775	0.000099	31.589444	1.070279	-0.002964
 320	1.5950e-01	-0.0347	-13.307444	0.000100	31.988300	1.083793	-0.003001
 321	1.6000e-01	-0.0467	-13.665994	0.000075	24.011168	0.813520	-0.002253
 322	1.6050e-01	-0.0664	-14.005485	0.000071	22.734827	0.770277	-0.002133
 323	1.6100e-01	-0.0803	-14.393815	0.000082	26.005451	0.881089	-0.002440
 324	1.6150e-01	-0.0971	-14.698761	0.000064	20.421459	0.691898	-0.001916
 325	1.6200e-01	-0.1080	-14.938191	0.000050	16.034036	0.543248	-0.001504
 326	1.6250e-01	-0.1248	-15.147842	0.000044	14.039753	0.475680	-0.001317
 327	1.6300e-01	-0.1403	-15.357492	0.000044	14.039753	0.475680	-0.001317
 328	1.6350e-01	-0.1583	-15.592158	0.000049	15.714951	0.532437	-0.001474
 329	1.6400e-01	-0.1717	-15.857795	0.000056	17.789005	0.602708	-0.001669
 330	1.6450e-01	-0.1856	-16.062680	0.000043	13.720667	0.464869	-0.001287
 331	1.6500e-01	-0.2012	-16.244933	0.000038	12.205012	0.413517	-0.001145
 332	1.6550e-01	-0.2138	-16.493893	0.000052	16.672206	0.564870	-0.001564
 333	1.6600e-01	-0.2330	-16.673764	0.000038	12.045470	0.408112	-0.001130
 334	1.6650e-01	-0.2471	-16.908429	0.000049	15.714951	0.532437	-0.001474
 335	1.6700e-01	-0.2610	-17.104977	0.000041	13.162268	0.445950	-0.001235
 336	1.6750e-01	-0.2763	-17.381334	0.000058	18.506947	0.627032	-0.001736
 337	1.6800e-01	-0.2928	-17.414688	0.000007	2.233597	0.075676	-0.000210
 338	1.6850e-01	-0.3056	-17.601705	0.000039	12.524098	0.424328	-0.001175
 339	1.6900e-01	-0.3175	-17.920946	0.000067	21.378714	0.724330	-0.002006
 340	1.6950e-01	-0.3331	-18.094860	0.000037	11.646613	0.394598	-0.001093
 341	1.7000e-01	-0.3497	-18.293790	0.000042	13.321811	0.451355	-0.001250
 342	1.7050e-01	-0.3670	-18.416483	0.000026	8.216446	0.278381	-0.000771
 343	1.7100e-01	-0.3771	-18.610648	0.000041	13.002726	0.440544	-0.001220
 344	1.7150e-01	-0.3930	-18.780989	0.000036	11.407299	0.386490	-0.001070
 345	1.7200e-01	-0.4089	-18.902491	0.000026	8.136675	0.275678	-0.000763
 346	1.7250e-01	-0.4244	-19.087127	0.000039	12.364555	0.418922	-0.001160
 347	1.7300e-01	-0.4407	-19.230070	0.000030	9.572559	0.324327	-0.000898
 348	1.7350e-01	-0.4544	-19.343234	0.000024	7.578276	0.256759	-0.000711
 349	1.7400e-01	-0.4695	-19.502854	0.000034	10.689357	0.362165	-0.001003
 350	1.7450e-01	-0.4829	-19.700592	0.000042	13.242040	0.448652	-0.001242
 351	1.7500e-01	-0.4984	-20.060334	0.000076	24.090939	0.816223	-0.002260
 352	1.7550e-01	-0.4893	-19.789932	0.000057	18.108090	0.613519	0.001699
 353	1.7600e-01	-0.4752	-19.694636	0.000020	6.381706	0.216218	0.000599
 354	1.7650e-01	-0.4613	-19.591002	0.000022	6.940105	0.235137	0.000651
 355	1.7700e-01	-0.4397	-19.539781	0.000011	3.430167	0.116217	0.000322
 356	1.7750e-01	-0.4275	-19.450441	0.000019	5.982849	0.202704	0.000561
 357	1.7800e-01	-0.4128	-19.309880	0.000030	9.413016	0.318922	0.000883
 358	1.7850e-01	-0.4005	-19.228879	0.000017	5.424450	0.183785	0.000509
 359	1.7900e-01	-0.3832	-19.141922	0.000018	5.823307	0.197299	0.000546
 360	1.7950e-01	-0.3698	-19.032331	0.000023	7.338962	0.248651	0.000689
 361	1.8000e-01	-0.3542	-18.926315	0.000022	7.099648	0.240543	0.000666
 362	1.8050e-01	-0.3422	-18.791710	0.000028	9.014159	0.305408	0.000846
 363	1.8100e-01	-0.3235	-18.686885	0.000022	7.019876	0.237840	0.000659
 364	1.8150e-01	-0.3068	-18.559427	0.000027	8.535531	0.289192	0.000801
 365	1.8200e-01	-0.2946	-18.404571	0.000033	10.370272	0.351354	0.000973
 366	1.8250e-01	-0.2773	-18.286643	0.000025	7.897361	0.267570	0.000741
 367	1.8300e-01	-0.2622	-18.340247	-0.000011	-3.589710	-0.121623	-0.000337
 368	1.8350e-01	-0.2484	-18.081757	0.000054	17.310377	0.586491	0.001624
 369	1.8400e-01	-0.2345	-17.849474	0.000049	15.555408	0.527031	0.001459
 370	1.8450e-01	-0.2165	-17.718442	0.000028	8.774845	0.297300	0.000823
 371	1.8500e-01	-0.2042	-17.540954	0.000037	11.885927	0.402706	0.001115
 372	1.8550e-01	-0.1875	-17.419452	0.000026	8.136675	0.275678	0.000763
 373	1.8600e-01	-0.1746	-17.175257	0.000051	16.353121	0.554059	0.001534
 374	1.8650e-01	-0.1582	-17.000151	0.000037	11.726384	0.397301	0.001100
 375	1.8700e-01	-0.1423	-16.811942	0.000040	12.603869	0.427031	0.001183
 376	1.8750e-01	-0.1288	-16.614204	0.000042	13.242040	0.448652	0.001242
 377	1.8800e-01	-0.1117	-16.424804	0.000040	12.683640	0.429733	0.001190
 378	1.8850e-01	-0.1000	-16.173461	0.000053	16.831749	0.570275	0.001579
 379	1.8900e-01	-0.0845	-15.919737	0.000053	16.991292	0.575681	0.001594
 380	1.8950e-01	-0.0701	-15.644571	0.000058	18.427175	0.624330	0.001729
 381	1.9000e-01	-0.0498	-15.513539	0.000028	8.774845	0.297300	0.000823
 382	1.9050e-01	-0.0391	-15.140695	0.000078	24.968424	0.845953	0.002343
 383	1.9100e-01	-0.0266	-14.897691	0.000051	16.273350	0.551356	0.001527
 384	1.9150e-01	-0.0101	-14.686849	0.000044	14.119524	0.478382	0.001325
 385	1.9200e-01	0.0076	-14.458139	0.000048	15.316094	0.518923	0.001437
 386	1.9250e-01	0.0204	-14.238959	0.000046	14.677923	0.497302	0.001377
 387	1.9300e-01	0.0394	-14.013823	0.000047	15.076780	0.510815	0.001415
 388	1.9350e-01	0.0486	-13.767246	0.000052	16.512664	0.559464	0.001549
 389	1.9400e-01	0.0673	-13.530198	0.000050	15.874493	0.537842	0.001489
 390	1.9450e-01	0.0805	-13.250267	0.000059	18.746261	0.635141	0.001759
 391	1.9500e-01	0.0980	-12.931026	0.000067	21.378714	0.724330	0.002006
 392	1.9550e-01	0.1165	-12.658243	0.000057	18.267633	0.618924	0.001714
 393	1.9600e-01	0.1254	-12.321134	0.000071	22.575284	0.764871	0.002118
 394	1.9650e-01	0.1389	-11.980452	0.000072	22.814598	0.772980	0.002141
 395	1.9700e-01	0.1580	-11.534945	0.000094	29.834475	1.010819	0.002799
 396	1.9750e-01	0.1712	-10.989377	0.000115	36.535266	1.237848	0.003428
 397	1.9800e-01	0.1877	-10.783300	0.000043	13.800439	0.467572	0.001295
 398	1.9850e-01	0.2008	-10.050715	0.000154	49.059363	1.662176	0.004603
 399	1.9900e-01	0.2148	-9.595678	0.000096	30.472645	1.032441	0.002859
 400	1.9950e-01	0.2367	-8.971491	0.000131	41.800173	1.416228	0.003922
 401	2.0000e-01	0.2450	-8.363982	0.000131	41.800173	1.416228	0.003817

Center data before PMax,+/-Pr and +/-Vc Calc.

PMax (uC/cm2):	2.01e+01
Pr (uC/cm2):	-1.20e+01
-Pr (uC/cm2):	-8.36e+00
PLoss (uC/cm2):	-1.16e-01
-Vc:	1.69e-01
C (Max-Eff) (nF):	6.33e-02
K (Eff):	6.83e+02
Vert. (+/-Pr) Shift (uC/cm2):	-1.02e+01
Offset (uC/cm2):	5.32e+00

A (Loop Area - uC/cm2·Volts):	6.14e+00



Hysteresis Version: 5.51.0 - Radiant Technologies, Inc., 1999 - 6/16/25

